Subset of Points	Shortest Path Predicted\shortest path predicted distance	Shortest Path Actual	actual shortest path distance	Predicted=Actual
[5, 6, 8, 9]	[0, 9, 8, 6, 5, 0]	252.42	[0, 5, 6, 8, 9, 0]	252.42	True
[5, 7, 8, 9]	[0, 9, 8, 7, 5, 0]	244.3	[0, 5, 7, 8, 9, 0]	244.3	True
[6, 7, 8, 9]	[0, 7, 6, 8, 9, 0]	255.96	[0, 9, 8, 6, 7, 0]	255.96	True
[1, 2, 3, 4, 5]	[0, 4, 3, 2, 1, 5, 0]	165.43	[0, 5, 1, 2, 3, 4, 0]	165.43	True
[1, 2, 3, 4, 6]	[0, 4, 3, 2, 6, 1, 0]	188.44	[0, 1, 6, 2, 3, 4, 0]	188.44	True
[1, 2, 3, 4, 7]	[0, 4, 3, 2, 1, 7, 0]	178.11	[0, 4, 3, 2, 1, 7, 0]	178.11	True
[1, 2, 3, 4, 8]	[0, 4, 3, 8, 2, 1, 0]	218.72	[0, 1, 2, 8, 3, 4, 0]	218.72	True
[1, 2, 3, 4, 9]	[0, 4, 3, 9, 2, 1, 0]	215.97	[0, 1, 2, 9, 3, 4, 0]	215.97	True
[1, 2, 3, 5, 6]	[0, 3, 2, 6, 1, 5, 0]	188.99	[0, 3, 2, 6, 1, 5, 0]	188.99	True
[1, 2, 3, 5, 7]	[0, 3, 2, 1, 7, 5, 0]	180.02	[0, 3, 2, 1, 7, 5, 0]	180.02	True
[1, 2, 3, 5, 8]	[0, 3, 8, 2, 1, 5, 0]	219.27	[0, 5, 1, 2, 8, 3, 0]	219.27	True
[1, 2, 3, 5, 9]	[0, 3, 9, 2, 1, 5, 0]	216.52	[0, 3, 9, 2, 1, 5, 0]	216.52	True
[1, 2, 3, 6, 7]	[0, 3, 2, 6, 1, 7, 0]	201.67	[0, 3, 2, 6, 1, 7, 0]	201.67	True
[1, 2, 3, 6, 8]	[0, 3, 8, 2, 6, 1, 0]	242.28	[0, 1, 6, 2, 8, 3, 0]	242.28	True
[1, 2, 3, 6, 9]	[0, 3, 9, 2, 6, 1, 0]	239.53	[0, 3, 9, 2, 6, 1, 0]	239.53	True
[1, 2, 3, 7, 8]	[0, 3, 8, 2, 1, 7, 0]	231.95	[0, 3, 8, 2, 1, 7, 0]	231.95	True
[1, 2, 3, 7, 9]	[0, 3, 9, 2, 1, 7, 0]	229.19	[0, 3, 9, 2, 1, 7, 0]	229.19	True
[1, 2, 3, 8, 9]	[0, 3, 9, 8, 2, 1, 0]	234.9	[0, 3, 9, 8, 2, 1, 0]	234.9	True
[1, 2, 4, 5, 6]	[0, 4, 2, 6, 1, 5, 0]	187.52	[0, 5, 1, 6, 2, 4, 0]	187.52	True
[1, 2, 4, 5, 7]	[0, 4, 2, 1, 7, 5, 0]	178.55	[0, 5, 7, 1, 2, 4, 0]	178.55	True
[1, 2, 4, 5, 8]	[0, 4, 8, 2, 1, 5, 0]	219.27	[0, 5, 1, 2, 8, 4, 0]	219.27	True
[1, 2, 4, 5, 9]	[0, 4, 9, 2, 1, 5, 0]	214.37	[0, 4, 9, 2, 1, 5, 0]	214.37	True
[1, 2, 4, 6, 7]	[0, 4, 2, 6, 1, 7, 0]	200.2	[0, 4, 2, 6, 1, 7, 0]	200.2	True
[1, 2, 4, 6, 8]	[0, 4, 8, 2, 6, 1, 0]	242.28	[0, 1, 6, 2, 8, 4, 0]	242.28	True
[1, 2, 4, 6, 9]	[0, 4, 9, 2, 6, 1, 0]	237.38	[0, 1, 6, 2, 9, 4, 0]	237.38	True
[1, 2, 4, 7, 8]	[0, 4, 8, 2, 1, 7, 0]	231.95	[0, 4, 8, 2, 1, 7, 0]	231.95	True
[1, 2, 4, 7, 9]	[0, 4, 9, 2, 1, 7, 0]	227.05	[0, 4, 9, 2, 1, 7, 0]	227.05	True
[1, 2, 4, 8, 9]	[0, 4, 9, 8, 2, 1, 0]	232.76	[0, 1, 2, 8, 9, 4, 0]	232.76	True
[1, 2, 5, 6, 7]	[0, 2, 6, 1, 7, 5, 0]	201.55	[0, 5, 1, 2, 6, 7, 0]	199.53	False
[1, 2, 5, 6, 8]	[0, 8, 2, 6, 1, 5, 0]	242.67	[0, 5, 1, 6, 2, 8, 0]	242.67	True
[1, 2, 5, 6, 9]	[0, 9, 2, 6, 1, 5, 0]	235.56	[0, 5, 1, 6, 2, 9, 0]	235.56	True
[1, 2, 5, 7, 8]	[0, 8, 2, 1, 7, 5, 0]	233.7	[0, 5, 7, 1, 2, 8, 0]	233.7	True
[1, 2, 5, 7, 9]	[0, 9, 2, 1, 7, 5, 0]	226.59	[0, 5, 7, 1, 2, 9, 0]	226.59	True
[1, 2, 5, 8, 9]	[0, 9, 8, 2, 1, 5, 0]	230.93	[0, 5, 1, 2, 8, 9, 0]	230.93	True
[1, 2, 6, 7, 8]	[0, 8, 2, 6, 1, 7, 0]	255.34	[0, 7, 1, 6, 2, 8, 0]	255.34	True
[1, 2, 6, 7, 9]	[0, 9, 2, 6, 1, 7, 0]	248.23	[0, 9, 2, 6, 1, 7, 0]	248.23	True
[1, 2, 6, 8, 9]	[0, 9, 8, 2, 6, 1, 0]	253.94	[0, 1, 6, 2, 8, 9, 0]	253.94	True
[1, 2, 7, 8, 9]	[0, 9, 8, 2, 1, 7, 0]	243.61	[0, 9, 8, 2, 1, 7, 0]	243.61	True
[1, 3, 4, 5, 6]	[0, 4, 3, 6, 1, 5, 0]	170.08	[0, 5, 1, 6, 3, 4, 0]	170.08	True
[1, 3, 4, 5, 7]	[0, 4, 3, 1, 7, 5, 0]	140.08	[0, 4, 3, 1, 7, 5, 0]	140.08	True
[1, 3, 4, 5, 8]	[0, 4, 3, 8, 1, 5, 0]	218.21	[0, 4, 3, 8, 1, 5, 0]	218.21	True
[1, 3, 4, 5, 9]	[0, 4, 3, 9, 1, 5, 0]	205.71	[0, 4, 3, 9, 1, 5, 0]	205.71	True
[1, 3, 4, 6, 7]	[0, 4, 3, 6, 1, 7, 0]	182.75	[0, 4, 3, 1, 6, 7, 0]	176.49	False
[1, 3, 4, 6, 8]	[0, 4, 3, 8, 6, 1, 0]	241.09	[0, 1, 6, 8, 3, 4, 0]	241.09	True
[1, 3, 4, 6, 9]	[0, 4, 3, 9, 6, 1, 0]	238.49	[0, 1, 6, 9, 3, 4, 0]	238.49	True
[1, 3, 4, 7, 8]	[0, 4, 3, 8, 1, 7, 0]	230.88	[0, 4, 3, 8, 1, 7, 0]	230.88	True
[1, 3, 4, 7, 9]	[0, 4, 3, 9, 1, 7, 0]	218.38	[0, 4, 3, 9, 1, 7, 0]	218.38	True
[1, 3, 4, 8, 9]	[0, 4, 3, 9, 8, 1, 0]	233.84	[0, 1, 8, 9, 3, 4, 0]	233.84	True
[1, 3, 5, 6, 7]	[0, 3, 6, 1, 7, 5, 0]	184.67	[0, 5, 7, 6, 1, 3, 0]	178.4	False
[1, 3, 5, 6, 8]	[0, 3, 8, 6, 1, 5, 0]	241.64	[0, 3, 8, 6, 1, 5, 0]	241.64	True
[1, 3, 5, 6, 9]	[0, 3, 9, 6, 1, 5, 0]	239.04	[0, 3, 9, 6, 1, 5, 0]	239.04	True
[1, 3, 5, 7, 8]	[0, 3, 8, 1, 7, 5, 0]	232.8	[0, 5, 7, 1, 8, 3, 0]	232.8	True
[1, 3, 5, 7, 9]	[0, 3, 9, 1, 7, 5, 0]	220.3	[0, 3, 9, 1, 7, 5, 0]	220.3	True
[1, 3, 5, 8, 9]	[0, 3, 9, 8, 1, 5, 0]	234.38	[0, 5, 1, 8, 9, 3, 0]	234.38	True
[1, 3, 6, 7, 8]	[0, 3, 8, 6, 1, 7, 0]	254.32	[0, 7, 1, 6, 8, 3, 0]	254.32	True
[1, 3, 6, 7, 9]	[0, 3, 9, 6, 1, 7, 0]	251.71	[0, 3, 9, 6, 1, 7, 0]	251.71	True
[1, 3, 6, 8, 9]	[0, 3, 9, 8, 6, 1, 0]	257.27	[0, 1, 6, 8, 9, 3, 0]	257.27	True
[1, 3, 7, 8, 9]	[0, 3, 9, 8, 1, 7, 0]	247.06	[0, 3, 9, 8, 1, 7, 0]	247.06	True
[1, 4, 5, 6, 7]	[0, 4, 1, 6, 7, 5, 0]	165.77	[0, 5, 7, 6, 1, 4, 0]	165.77	True
[1, 4, 5, 6, 8]	[0, 4, 1, 6, 8, 5, 0]	260.96	[0, 4, 8, 6, 1, 5, 0]	241.64	False
[1, 4, 5, 6, 9]	[0, 4, 9, 1, 6, 5, 0]	251.02	[0, 4, 9, 6, 1, 5, 0]	236.89	False
[1, 4, 5, 7, 8]	[0, 4, 8, 1, 7, 5, 0]	232.8	[0, 4, 8, 1, 7, 5, 0]	232.8	True
[1, 4, 5, 7, 9]	[0, 4, 9, 1, 7, 5, 0]	218.15	[0, 5, 7, 1, 9, 4, 0]	218.15	True
[1, 4, 5, 8, 9]	[0, 4, 9, 8, 1, 5, 0]	232.24	[0, 4, 9, 8, 1, 5, 0]	232.24	True
[1, 4, 6, 7, 8]	[0, 4, 8, 1, 6, 7, 0]	269.2	[0, 7, 1, 6, 8, 4, 0]	254.31	False
[1, 4, 6, 7, 9]	[0, 4, 9, 1, 6, 7, 0]	254.56	[0, 7, 1, 6, 9, 4, 0]	249.57	False
[1, 4, 6, 8, 9]	[0, 4, 1, 6, 8, 9, 0]	259.29	[0, 1, 6, 8, 9, 4, 0]	255.12	False
[1, 4, 7, 8, 9]	[0, 4, 9, 8, 1, 7, 0]	244.92	[0, 4, 9, 8, 1, 7, 0]	244.92	True
[1, 5, 6, 7, 8]	[0, 5, 7, 6, 8, 1, 0]	264.84	[0, 5, 7, 1, 6, 8, 0]	256.07	False
[1, 5, 6, 7, 9]	[0, 5, 7, 6, 1, 9, 0]	254.1	[0, 9, 6, 1, 7, 5, 0]	249.11	False
[1, 5, 6, 8, 9]	[0, 5, 9, 8, 6, 1, 0]	276.09	[0, 5, 1, 6, 8, 9, 0]	253.3	False
[1, 5, 7, 8, 9]	[0, 5, 9, 8, 1, 7, 0]	265.88	[0, 5, 7, 1, 8, 9, 0]	244.46	False
[1, 6, 7, 8, 9]	[0, 7, 6, 8, 9, 1, 0]	290.75	[0, 7, 1, 6, 8, 9, 0]	265.98	False
[2, 3, 4, 5, 6]	[0, 4, 3, 2, 6, 5, 0]	188.15	[0, 5, 6, 2, 3, 4, 0]	188.15	True
[2, 3, 4, 5, 7]	[0, 4, 3, 2, 7, 5, 0]	179.46	[0, 5, 7, 2, 3, 4, 0]	179.46	True
[2, 3, 4, 5, 8]	[0, 4, 3, 8, 2, 5, 0]	216.08	[0, 4, 3, 8, 2, 5, 0]	216.08	True
[2, 3, 4, 5, 9]	[0, 4, 3, 9, 2, 5, 0]	213.33	[0, 4, 3, 9, 2, 5, 0]	213.33	True
[2, 3, 4, 6, 7]	[0, 4, 3, 2, 6, 7, 0]	191.69	[0, 4, 3, 2, 6, 7, 0]	191.69	True
[2, 3, 4, 6, 8]	[0, 4, 3, 8, 2, 6, 0]	241.97	[0, 4, 3, 8, 2, 6, 0]	241.97	True
[2, 3, 4, 6, 9]	[0, 4, 3, 9, 2, 6, 0]	239.22	[0, 4, 3, 9, 2, 6, 0]	239.22	True
[2, 3, 4, 7, 8]	[0, 4, 3, 8, 2, 7, 0]	231.39	[0, 4, 3, 8, 2, 7, 0]	231.39	True
[2, 3, 4, 7, 9]	[0, 4, 3, 9, 2, 7, 0]	228.63	[0, 4, 3, 9, 2, 7, 0]	228.63	True
[2, 3, 4, 8, 9]	[0, 4, 3, 9, 8, 2, 0]	225.58	[0, 9, 8, 2, 3, 4, 0]	223.09	False
[2, 3, 5, 6, 7]	[0, 3, 2, 6, 7, 5, 0]	193.6	[0, 3, 2, 6, 7, 5, 0]	193.6	True
[2, 3, 5, 6, 8]	[0, 3, 8, 2, 6, 5, 0]	241.99	[0, 5, 6, 2, 8, 3, 0]	241.99	True
[2, 3, 5, 6, 9]	[0, 3, 9, 2, 6, 5, 0]	239.23	[0, 3, 9, 2, 6, 5, 0]	239.23	True
[2, 3, 5, 7, 8]	[0, 3, 8, 2, 7, 5, 0]	233.3	[0, 5, 7, 2, 8, 3, 0]	233.3	True
[2, 3, 5, 7, 9]	[0, 3, 9, 2, 7, 5, 0]	230.54	[0, 3, 9, 2, 7, 5, 0]	230.54	True
[2, 3, 5, 8, 9]	[0, 3, 9, 8, 2, 5, 0]	232.26	[0, 5, 2, 8, 9, 3, 0]	232.26	True
[2, 3, 6, 7, 8]	[0, 3, 8, 2, 6, 7, 0]	245.53	[0, 3, 8, 2, 6, 7, 0]	245.53	True
[2, 3, 6, 7, 9]	[0, 3, 9, 2, 6, 7, 0]	242.77	[0, 3, 9, 2, 6, 7, 0]	242.77	True
[2, 3, 6, 8, 9]	[0, 3, 9, 8, 2, 6, 0]	258.15	[0, 3, 9, 8, 2, 6, 0]	258.15	True
[2, 3, 7, 8, 9]	[0, 3, 9, 8, 2, 7, 0]	247.56	[0, 3, 9, 8, 2, 7, 0]	247.56	True
[2, 4, 5, 6, 7]	[0, 4, 2, 6, 7, 5, 0]	192.13	[0, 5, 7, 6, 2, 4, 0]	192.13	True
[2, 4, 5, 6, 8]	[0, 4, 8, 2, 6, 5, 0]	241.99	[0, 5, 6, 2, 8, 4, 0]	241.99	True
[2, 4, 5, 6, 9]	[0, 4, 9, 2, 6, 5, 0]	237.09	[0, 5, 6, 2, 9, 4, 0]	237.09	True
[2, 4, 5, 7, 8]	[0, 4, 8, 2, 7, 5, 0]	233.3	[0, 4, 8, 2, 7, 5, 0]	233.3	True
[2, 4, 5, 7, 9]	[0, 4, 9, 2, 7, 5, 0]	228.4	[0, 4, 9, 2, 7, 5, 0]	228.4	True
[2, 4, 5, 8, 9]	[0, 4, 9, 8, 2, 5, 0]	230.11	[0, 5, 2, 8, 9, 4, 0]	230.11	True
[2, 4, 6, 7, 8]	[0, 4, 8, 2, 6, 7, 0]	245.53	[0, 4, 8, 2, 6, 7, 0]	245.53	True
[2, 4, 6, 7, 9]	[0, 4, 9, 2, 6, 7, 0]	240.63	[0, 4, 9, 2, 6, 7, 0]	240.63	True
[2, 4, 6, 8, 9]	[0, 4, 9, 8, 2, 6, 0]	256.01	[0, 4, 9, 8, 2, 6, 0]	256.01	True
[2, 4, 7, 8, 9]	[0, 4, 9, 8, 2, 7, 0]	245.42	[0, 4, 9, 8, 2, 7, 0]	245.42	True
[2, 5, 6, 7, 8]	[0, 5, 7, 6, 2, 8, 0]	247.28	[0, 5, 7, 6, 2, 8, 0]	247.28	True
[2, 5, 6, 7, 9]	[0, 5, 7, 6, 2, 9, 0]	240.17	[0, 5, 7, 6, 2, 9, 0]	240.17	True
[2, 5, 6, 8, 9]	[0, 5, 6, 2, 8, 9, 0]	253.65	[0, 5, 6, 2, 8, 9, 0]	253.65	True
[2, 5, 7, 8, 9]	[0, 5, 7, 2, 8, 9, 0]	244.96	[0, 5, 7, 2, 8, 9, 0]	244.96	True
[2, 6, 7, 8, 9]	[0, 7, 6, 2, 8, 9, 0]	257.19	[0, 7, 6, 2, 8, 9, 0]	257.19	True
[3, 4, 5, 6, 7]	[0, 4, 3, 6, 7, 5, 0]	174.69	[0, 5, 7, 6, 3, 4, 0]	174.69	True
[3, 4, 5, 6, 8]	[0, 4, 3, 8, 6, 5, 0]	240.8	[0, 4, 3, 8, 6, 5, 0]	240.8	True
[3, 4, 5, 6, 9]	[0, 4, 3, 9, 6, 5, 0]	238.2	[0, 4, 3, 9, 6, 5, 0]	238.2	True
[3, 4, 5, 7, 8]	[0, 4, 3, 8, 7, 5, 0]	232.68	[0, 4, 3, 8, 7, 5, 0]	232.68	True
[3, 4, 5, 7, 9]	[0, 4, 3, 9, 7, 5, 0]	219.86	[0, 4, 3, 9, 7, 5, 0]	219.86	True
[3, 4, 5, 8, 9]	[0, 4, 3, 9, 8, 5, 0]	228.57	[0, 4, 3, 9, 8, 5, 0]	228.57	True
[3, 4, 6, 7, 8]	[0, 4, 3, 8, 6, 7, 0]	244.34	[0, 4, 3, 8, 6, 7, 0]	244.34	True
[3, 4, 6, 7, 9]	[0, 4, 3, 9, 6, 7, 0]	241.74	[0, 4, 3, 9, 6, 7, 0]	241.74	True
[3, 4, 6, 8, 9]	[0, 4, 3, 9, 8, 6, 0]	256.96	[0, 4, 3, 9, 8, 6, 0]	256.96	True
[3, 4, 7, 8, 9]	[0, 4, 3, 9, 8, 7, 0]	246.94	[0, 4, 3, 9, 8, 7, 0]	246.94	True
[3, 5, 6, 7, 8]	[0, 5, 7, 6, 8, 3, 0]	246.25	[0, 5, 7, 6, 8, 3, 0]	246.25	True
[3, 5, 6, 7, 9]	[0, 5, 7, 6, 9, 3, 0]	243.65	[0, 3, 9, 6, 7, 5, 0]	243.65	True
[3, 5, 6, 8, 9]	[0, 5, 6, 8, 9, 3, 0]	256.98	[0, 3, 9, 8, 6, 5, 0]	256.98	True
[3, 5, 7, 8, 9]	[0, 5, 7, 8, 9, 3, 0]	248.86	[0, 3, 9, 8, 7, 5, 0]	248.86	True
[3, 6, 7, 8, 9]	[0, 7, 6, 8, 9, 3, 0]	260.52	[0, 3, 9, 8, 6, 7, 0]	260.52	True
[4, 5, 6, 7, 8]	[0, 5, 7, 6, 8, 4, 0]	246.25	[0, 5, 7, 6, 8, 4, 0]	246.25	True
[4, 5, 6, 7, 9]	[0, 5, 7, 6, 9, 4, 0]	241.51	[0, 5, 7, 6, 9, 4, 0]	241.51	True
[4, 5, 6, 8, 9]	[0, 5, 6, 8, 9, 4, 0]	254.83	[0, 5, 6, 8, 9, 4, 0]	254.83	True
[4, 5, 7, 8, 9]	[0, 9, 8, 7, 5, 4, 0]	256.28	[0, 4, 9, 8, 7, 5, 0]	246.71	False
[4, 6, 7, 8, 9]	[0, 7, 6, 8, 9, 4, 0]	258.37	[0, 4, 9, 8, 6, 7, 0]	258.37	True
[5, 6, 7, 8, 9]	[0, 7, 6, 8, 9, 5, 0]	279.34	[0, 5, 7, 6, 8, 9, 0]	257.91	False
[1, 2, 3, 4, 5, 6]	[0, 4, 3, 2, 6, 1, 5, 0]	189.03	[0, 5, 1, 6, 2, 3, 4, 0]	189.03	True
[1, 2, 3, 4, 5, 7]	[0, 4, 3, 2, 1, 7, 5, 0]	180.06	[0, 4, 3, 2, 1, 7, 5, 0]	180.06	True
[1, 2, 3, 4, 5, 8]	[0, 4, 3, 8, 2, 1, 5, 0]	219.31	[0, 4, 3, 8, 2, 1, 5, 0]	219.31	True
[1, 2, 3, 4, 5, 9]	[0, 4, 3, 9, 2, 1, 5, 0]	216.55	[0, 4, 3, 9, 2, 1, 5, 0]	216.55	True
[1, 2, 3, 4, 6, 7]	[0, 4, 3, 2, 6, 1, 7, 0]	201.7	[0, 4, 3, 2, 6, 1, 7, 0]	201.7	True
[1, 2, 3, 4, 6, 8]	[0, 4, 3, 8, 2, 6, 1, 0]	242.32	[0, 1, 6, 2, 8, 3, 4, 0]	242.32	True
[1, 2, 3, 4, 6, 9]	[0, 4, 3, 9, 2, 6, 1, 0]	239.56	[0, 4, 3, 9, 2, 6, 1, 0]	239.56	True
[1, 2, 3, 4, 7, 8]	[0, 4, 3, 8, 2, 1, 7, 0]	231.98	[0, 4, 3, 8, 2, 1, 7, 0]	231.98	True
[1, 2, 3, 4, 7, 9]	[0, 4, 3, 9, 2, 1, 7, 0]	229.23	[0, 4, 3, 9, 2, 1, 7, 0]	229.23	True
[1, 2, 3, 4, 8, 9]	[0, 4, 3, 9, 8, 2, 1, 0]	234.94	[0, 1, 2, 8, 9, 3, 4, 0]	234.94	True
[1, 2, 3, 5, 6, 7]	[0, 3, 2, 6, 1, 7, 5, 0]	203.62	[0, 3, 2, 6, 1, 7, 5, 0]	203.62	True
[1, 2, 3, 5, 6, 8]	[0, 3, 8, 2, 6, 1, 5, 0]	242.86	[0, 3, 8, 2, 6, 1, 5, 0]	242.86	True
[1, 2, 3, 5, 6, 9]	[0, 3, 9, 2, 6, 1, 5, 0]	240.11	[0, 3, 9, 2, 6, 1, 5, 0]	240.11	True
[1, 2, 3, 5, 7, 8]	[0, 3, 8, 2, 1, 7, 5, 0]	233.9	[0, 5, 7, 1, 2, 8, 3, 0]	233.9	True
[1, 2, 3, 5, 7, 9]	[0, 3, 9, 2, 1, 7, 5, 0]	231.14	[0, 3, 9, 2, 1, 7, 5, 0]	231.14	True
[1, 2, 3, 5, 8, 9]	[0, 3, 9, 8, 2, 1, 5, 0]	235.49	[0, 3, 9, 8, 2, 1, 5, 0]	235.49	True
[1, 2, 3, 6, 7, 8]	[0, 3, 8, 2, 6, 1, 7, 0]	255.54	[0, 3, 8, 2, 6, 1, 7, 0]	255.54	True
[1, 2, 3, 6, 7, 9]	[0, 3, 9, 2, 6, 1, 7, 0]	252.79	[0, 3, 9, 2, 6, 1, 7, 0]	252.79	True
[1, 2, 3, 6, 8, 9]	[0, 3, 9, 8, 2, 6, 1, 0]	258.5	[0, 1, 6, 2, 8, 9, 3, 0]	258.5	True
[1, 2, 3, 7, 8, 9]	[0, 3, 9, 8, 2, 1, 7, 0]	248.16	[0, 3, 9, 8, 2, 1, 7, 0]	248.16	True
[1, 2, 4, 5, 6, 7]	[0, 4, 2, 6, 1, 7, 5, 0]	202.15	[0, 5, 7, 1, 6, 2, 4, 0]	202.15	True
[1, 2, 4, 5, 6, 8]	[0, 4, 8, 2, 6, 1, 5, 0]	242.86	[0, 4, 8, 2, 6, 1, 5, 0]	242.86	True
[1, 2, 4, 5, 6, 9]	[0, 4, 9, 2, 6, 1, 5, 0]	237.96	[0, 4, 9, 2, 6, 1, 5, 0]	237.96	True
[1, 2, 4, 5, 7, 8]	[0, 4, 8, 2, 1, 7, 5, 0]	233.9	[0, 5, 7, 1, 2, 8, 4, 0]	233.9	True
[1, 2, 4, 5, 7, 9]	[0, 4, 9, 2, 1, 7, 5, 0]	229.0	[0, 4, 9, 2, 1, 7, 5, 0]	229.0	True
[1, 2, 4, 5, 8, 9]	[0, 4, 9, 8, 2, 1, 5, 0]	233.34	[0, 5, 1, 2, 8, 9, 4, 0]	233.34	True
[1, 2, 4, 6, 7, 8]	[0, 4, 8, 2, 6, 1, 7, 0]	255.54	[0, 4, 8, 2, 6, 1, 7, 0]	255.54	True
[1, 2, 4, 6, 7, 9]	[0, 4, 9, 2, 6, 1, 7, 0]	250.64	[0, 4, 9, 2, 6, 1, 7, 0]	250.64	True
[1, 2, 4, 6, 8, 9]	[0, 4, 9, 8, 2, 6, 1, 0]	256.35	[0, 4, 9, 8, 2, 6, 1, 0]	256.35	True
[1, 2, 4, 7, 8, 9]	[0, 4, 9, 8, 2, 1, 7, 0]	246.02	[0, 4, 9, 8, 2, 1, 7, 0]	246.02	True
[1, 2, 5, 6, 7, 8]	[0, 8, 2, 6, 1, 7, 5, 0]	257.29	[0, 5, 7, 1, 6, 2, 8, 0]	257.29	True
[1, 2, 5, 6, 7, 9]	[0, 9, 2, 6, 1, 7, 5, 0]	250.18	[0, 5, 7, 1, 6, 2, 9, 0]	250.18	True
[1, 2, 5, 6, 8, 9]	[0, 9, 8, 2, 6, 1, 5, 0]	254.53	[0, 5, 1, 6, 2, 8, 9, 0]	254.53	True
[1, 2, 5, 7, 8, 9]	[0, 9, 8, 2, 1, 7, 5, 0]	245.56	[0, 5, 7, 1, 2, 8, 9, 0]	245.56	True
[1, 2, 6, 7, 8, 9]	[0, 9, 8, 2, 6, 1, 7, 0]	267.2	[0, 7, 1, 6, 2, 8, 9, 0]	267.2	True
[1, 3, 4, 5, 6, 7]	[0, 4, 3, 6, 1, 7, 5, 0]	184.7	[0, 5, 7, 6, 1, 3, 4, 0]	178.44	False
[1, 3, 4, 5, 6, 8]	[0, 4, 3, 8, 6, 1, 5, 0]	241.68	[0, 4, 3, 8, 6, 1, 5, 0]	241.68	True
[1, 3, 4, 5, 6, 9]	[0, 4, 3, 9, 6, 1, 5, 0]	239.07	[0, 4, 3, 9, 6, 1, 5, 0]	239.07	True
[1, 3, 4, 5, 7, 8]	[0, 4, 3, 8, 1, 7, 5, 0]	232.83	[0, 4, 3, 8, 1, 7, 5, 0]	232.83	True
[1, 3, 4, 5, 7, 9]	[0, 4, 3, 9, 1, 7, 5, 0]	220.33	[0, 4, 3, 9, 1, 7, 5, 0]	220.33	True
[1, 3, 4, 5, 8, 9]	[0, 4, 3, 9, 8, 1, 5, 0]	234.42	[0, 5, 1, 8, 9, 3, 4, 0]	234.42	True
[1, 3, 4, 6, 7, 8]	[0, 4, 3, 8, 6, 1, 7, 0]	254.35	[0, 4, 3, 8, 6, 1, 7, 0]	254.35	True
[1, 3, 4, 6, 7, 9]	[0, 4, 3, 9, 6, 1, 7, 0]	251.75	[0, 4, 3, 9, 6, 1, 7, 0]	251.75	True
[1, 3, 4, 6, 8, 9]	[0, 4, 3, 9, 8, 6, 1, 0]	257.31	[0, 1, 6, 8, 9, 3, 4, 0]	257.31	True
[1, 3, 4, 7, 8, 9]	[0, 4, 3, 9, 8, 1, 7, 0]	247.1	[0, 4, 3, 9, 8, 1, 7, 0]	247.1	True
[1, 3, 5, 6, 7, 8]	[0, 3, 8, 6, 1, 7, 5, 0]	256.27	[0, 3, 8, 6, 1, 7, 5, 0]	256.27	True
[1, 3, 5, 6, 7, 9]	[0, 3, 9, 6, 1, 7, 5, 0]	253.67	[0, 3, 9, 6, 1, 7, 5, 0]	253.67	True
[1, 3, 5, 6, 8, 9]	[0, 3, 9, 8, 6, 1, 5, 0]	257.85	[0, 3, 9, 8, 6, 1, 5, 0]	257.85	True
[1, 3, 5, 7, 8, 9]	[0, 3, 9, 8, 1, 7, 5, 0]	249.01	[0, 3, 9, 8, 1, 7, 5, 0]	249.01	True
[1, 3, 6, 7, 8, 9]	[0, 3, 9, 8, 6, 1, 7, 0]	270.53	[0, 3, 9, 8, 6, 1, 7, 0]	270.53	True
[1, 4, 5, 6, 7, 8]	[0, 4, 8, 1, 6, 7, 5, 0]	271.15	[0, 4, 8, 6, 1, 7, 5, 0]	256.27	False
[1, 4, 5, 6, 7, 9]	[0, 4, 9, 1, 6, 7, 5, 0]	256.51	[0, 4, 9, 6, 1, 7, 5, 0]	251.52	False
[1, 4, 5, 6, 8, 9]	[0, 4, 1, 6, 8, 9, 5, 0]	282.67	[0, 4, 9, 8, 6, 1, 5, 0]	255.71	False
[1, 4, 5, 7, 8, 9]	[0, 4, 9, 8, 1, 7, 5, 0]	246.87	[0, 4, 9, 8, 1, 7, 5, 0]	246.87	True
[1, 4, 6, 7, 8, 9]	[0, 4, 9, 8, 1, 6, 7, 0]	283.28	[0, 4, 9, 8, 6, 1, 7, 0]	268.39	False
[1, 5, 6, 7, 8, 9]	[0, 5, 7, 6, 8, 9, 1, 0]	292.7	[0, 5, 7, 1, 6, 8, 9, 0]	267.93	False
[2, 3, 4, 5, 6, 7]	[0, 4, 3, 2, 6, 7, 5, 0]	193.64	[0, 4, 3, 2, 6, 7, 5, 0]	193.64	True
[2, 3, 4, 5, 6, 8]	[0, 4, 3, 8, 2, 6, 5, 0]	242.03	[0, 4, 3, 8, 2, 6, 5, 0]	242.03	True
[2, 3, 4, 5, 6, 9]	[0, 4, 3, 9, 2, 6, 5, 0]	239.27	[0, 4, 3, 9, 2, 6, 5, 0]	239.27	True
[2, 3, 4, 5, 7, 8]	[0, 4, 3, 8, 2, 7, 5, 0]	233.34	[0, 4, 3, 8, 2, 7, 5, 0]	233.34	True
[2, 3, 4, 5, 7, 9]	[0, 4, 3, 9, 2, 7, 5, 0]	230.58	[0, 4, 3, 9, 2, 7, 5, 0]	230.58	True
[2, 3, 4, 5, 8, 9]	[0, 4, 3, 9, 8, 2, 5, 0]	232.3	[0, 5, 2, 8, 9, 3, 4, 0]	232.3	True
